WKT,WKT,VALUE,id,@id,power,voltage,raster,cables,operator,frequency,name,circuits,operator:short,operator:wikidata,operator:wikipedia,ref,wires,layer,source,motorcycle,line,fixme,admin_level,surface,not:operator:wikidata,addr:postcode,note,motorcar,alt_name,description,source:date,cable,location,highway,import,bridge,submarine,construction,disused,design,design:incomplete,start_date,seamark:type,communication,distance,length,,,
"MULTILINESTRING ((1214178.98829213 10234950.335995,1221903.95470703 10235703.7571251))",POINT (1214178.98829213 10234950.335995),0.02019682,way/943966219,way/943966219,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7761.620289,7715.412,,,
"MULTILINESTRING ((1217643.02136549 10231484.3725331,1222061.98158088 10235472.4151149))",POINT (1217643.02136549 10231484.3725331),0.0200716,way/943966219,way/943966219,line,150000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5952.452689,5916.825,,,
"MULTILINESTRING ((-691039.202057209 10210688.5917621,-695705.043891246 10196704.9757553))",POINT (-691039.202057209 10210688.5917621),0.02043577,way/755006492,way/755006492,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14741.49235,14491.058,,,
"MULTILINESTRING ((-694503.235130571 10207222.6283002,-702276.018885848 10200561.1662504))",POINT (-694503.235130571 10207222.6283002),0.02054231,way/755006492,way/755006492,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10236.75945,10061.375,,,
"MULTILINESTRING ((-687575.168983846 10207222.6283002,-695705.043891246 10196704.9757553))",POINT (-687575.168983846 10207222.6283002),0.02044283,way/755006492,way/755006492,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13293.45256,13068.279,,,
"MULTILINESTRING ((-691039.202057209 10200290.7013765,-695443.554511531 10196409.6011047))",POINT (-691039.202057209 10200290.7013765),0.02059608,way/755006492,way/755006492,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5870.371356,5770.665,,,
"MULTILINESTRING ((-985482.013293015 10117107.5782923,-985007.521097797 10117739.218122))",POINT (-985482.013293015 10117107.5782923),0.01925572,way/736942580,way/736942580,line,70000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,790.0074163,769.212,,,
"MULTILINESTRING ((2038618.85975239 10117107.5782923,2044769.56906188 10136021.6594313))",POINT (2038618.85975239 10117107.5782923),0.02152796,way/615868414,way/615868414,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19889.03442,19325.309,,,
"MULTILINESTRING ((-992410.07943974 10113641.6148304,-985667.312195765 10118245.8181636))",POINT (-992410.07943974 10113641.6148304),0.01869244,way/736942580,way/736942580,line,70000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8164.777917,7948.766,,,
"MULTILINESTRING ((2035154.82667903 10113641.6148304,2016003.24512106 10111552.0237866))",POINT (2035154.82667903 10113641.6148304),0.02091424,way/943309154,way/943309154,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19265.23986,18730.436,,,
"MULTILINESTRING ((2038618.85975239 10110175.6513686,2016099.60020242 10109729.5257692))",POINT (2038618.85975239 10110175.6513686),0.02140315,way/943309154,way/943309154,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22523.67818,21896.971,,,
"MULTILINESTRING ((1778816.37925021 10085913.9071357,1786203.20466201 10068434.1365959))",POINT (1778816.37925021 10085913.9071357),0.02270032,way/397085934,way/397085934,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18976.50041,18603.83,,,
"MULTILINESTRING ((1778816.37925021 10078981.980212,1785927.9553335 10068270.6587842))",POINT (1778816.37925021 10078981.980212),0.0226502,way/397085934,way/397085934,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12857.17392,12604.733,,,
"MULTILINESTRING ((-600974.342149786 10054720.2359791,-590458.993401703 10054945.0107583))",POINT (-600974.342149786 10054720.2359791),0.02046015,way/736595652,way/736595652,line,275000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10517.75085,10367.426,,,
"MULTILINESTRING ((-607902.408296511 10047788.3090554,-609225.215667324 10039456.0480415))",POINT (-607902.408296511 10047788.3090554),0.0202633,way/625279423,way/625279423,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8436.610276,8313.144,,,
"MULTILINESTRING ((-646006.772103497 10040856.3821317,-643567.236562695 10035713.7448589))",POINT (-646006.772103497 10040856.3821317),0.02058518,way/928928124,way/928928124,line,275000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5691.928652,5603.021,,,
"MULTILINESTRING ((-600974.342149786 10040856.3821317,-599892.24523427 10038456.2752009))",POINT (-600974.342149786 10040856.3821317),0.02018676,way/625279423,way/625279423,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2632.764139,2594.806,,,
"MULTILINESTRING ((-646006.772103497 10026992.5282843,-644476.390516746 10027440.9948203))",POINT (-646006.772103497 10026992.5282843),0.02066939,way/928928124,way/928928124,line,275000,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1594.738234,1569.808,,,
"MULTILINESTRING ((455555.745225758 10023526.5648225,447747.064594637 10015137.2951373))",POINT (455555.745225758 10023526.5648225),0.02051627,way/949915564,way/949915564,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11461.03569,11465.289,,,
"MULTILINESTRING ((452091.712152396 10020060.6013606,447700.698722153 10015180.3428674))",POINT (452091.712152396 10020060.6013606),0.02052995,way/949915564,way/949915564,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6564.900754,6567.323,,,
"MULTILINESTRING ((459019.778299121 10020060.6013606,449480.751620953 10013678.0835897))",POINT (459019.778299121 10020060.6013606),0.02033726,way/949915564,way/949915564,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11477.35,11481.644,,,
"MULTILINESTRING ((455555.745225758 10016594.6378988,449480.751620953 10013678.0835897))",POINT (455555.745225758 10016594.6378988),0.02057414,way/949915564,way/949915564,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6738.830487,6741.339,,,
"MULTILINESTRING ((459019.778299121 10013128.674437,449480.751620953 10013678.0835897))",POINT (459019.778299121 10013128.674437),0.02078348,way/949915564,way/949915564,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9554.835445,9558.41,,,
"MULTILINESTRING ((389739.116831872 10006196.7475133,389667.896273601 10005247.299684))",POINT (389739.116831872 10006196.7475133),0.02113567,way/563399564,way/563399564,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,952.1153021,952.353,,,
"MULTILINESTRING ((400131.21605196 10006196.7475133,398796.319721668 10005981.8644144))",POINT (400131.21605196 10006196.7475133),0.02102256,way/949915564,way/949915564,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1352.080973,1352.453,,,
"MULTILINESTRING ((403595.249125322 10002730.7840514,399760.249221678 10001570.2746753))",POINT (403595.249125322 10002730.7840514),0.02101153,way/949915564,way/949915564,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4006.745097,4007.869,,,
"MULTILINESTRING ((389739.116831872 9999264.82058957,392438.80328409 10003230.0335065))",POINT (389739.116831872 9999264.82058957),0.02108062,way/563399564,way/563399564,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4797.00119,4798.216,,,
"MULTILINESTRING ((396667.182978597 9999264.82058957,398854.140161491 10000421.0017203))",POINT (396667.182978597 9999264.82058957),0.02106094,way/563399564,way/563399564,line,150000,1,6,,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2473.7697,2474.439,,,
"MULTILINESTRING ((1120650.09531134 9981935.00328035,1125479.23061733 9971863.56310195))",POINT (1120650.09531134 9981935.00328035),0.0200186,way/756631777,way/756631777,line,150000,1,6,PLN,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11169.35339,11120.318,,,
