WKT,VALUE,,,KW,MW,GW
POINT (878167.780175975 9676930.21863806),0.0208263,,,,,
POINT (871239.71402925 9673464.25517621),0.02089805,,,,,
POINT (881631.813249337 9669998.29171437),0.02070385,,,,,
POINT (1661039.25475588 9604144.98593933),0.02241082,,,,,
POINT (1667967.32090261 9600679.02247749),0.02231682,,,,,
POINT (1664503.28782925 9593747.0955538),0.02086105,,,,,
POINT (1667967.32090261 9586815.16863011),0.02087703,,,,,
POINT (1695679.58548951 9586815.16863011),0.02194791,,,,,
POINT (1702607.65163623 9586815.16863011),0.02236577,,,,,
POINT (1695679.58548951 9579883.24170642),0.02187601,,,,,
POINT (1702607.65163623 9579883.24170642),0.02196339,,,,,
POINT (1695679.58548951 9572951.31478273),0.0205301,,,,,
POINT (1702607.65163623 9572951.31478273),0.02018923,,,,,
POINT (-261499.100960268 9538291.68016429),0.02117793,,,,,
POINT (-254571.034813543 9538291.68016429),0.02112565,,,,,
POINT (1519013.89874802 9534825.71670244),0.02357467,,,,,
POINT (-254571.034813543 9531359.7532406),0.0212546,,,,,
POINT (-247642.968666818 9531359.7532406),0.02122371,,,,,
POINT (1515549.86567466 9531359.7532406),0.02370228,,,,,
POINT (1522477.93182139 9531359.7532406),0.02360172,,,,,
POINT (1519013.89874802 9527893.78977876),0.02363634,,,,,
POINT (-244178.935593455 9524427.82631691),0.02129797,,,,,
POINT (1467053.40264759 9427380.84938527),0.02115305,,,,,
POINT (1463589.36957423 9423914.88592343),0.02139875,,,,,
POINT (1778816.37925021 9423914.88592343),0.02166328,,,,,
POINT (1785744.44539693 9423914.88592343),0.02185315,,,,,
POINT (1463589.36957423 9416982.95899974),0.02142421,,,,,
POINT (1467053.40264759 9413516.9955379),0.02092694,,,,,
POINT (178433.099356763 9250616.71283122),0.02190262,,,,,
POINT (181897.132430126 9243684.78590753),0.02132286,,,,,
POINT (462483.811372483 9222889.00513646),0.02321821,,,,,
POINT (469411.877519208 9222889.00513646),0.02320028,,,,,
POINT (476339.943665933 9219423.04167462),0.02317208,,,,,
POINT (462483.811372483 9212491.11475093),0.02299538,,,,,
POINT (472875.910592571 9212491.11475093),0.02306485,,,,,
POINT (452091.712152396 9209025.15128908),0.02272505,,,,,
POINT (607973.200453705 9153569.73589958),0.02398663,,,,,
POINT (604509.167380343 9146637.80897589),0.02388168,,,,,
POINT (611437.233527068 9146637.80897589),0.02374209,,,,,
POINT (1065225.56613755 9042658.90512056),0.02271667,,,,,
POINT (1068689.59921091 9035726.97819687),0.02268198,,,,,
POINT (1065225.56613755 9032261.01473503),0.02269963,,,,,
POINT (1626398.92402226 9028795.05127318),0.0244644,,,,,
POINT (1622934.8909489 9021863.1243495),0.02410935,,,,,
POINT (1633326.99016898 9021863.1243495),0.02374337,,,,,
POINT (1934697.86755152 8890156.51279941),0.0246029,,,,,
POINT (1927769.80140479 8886690.54933757),0.02427311,,,,,
POINT (1938161.90062488 8886690.54933757),0.02484892,,,,,
POINT (1934697.86755152 8883224.58587573),0.02480889,,,,,
POINT (1931233.83447815 8879758.62241388),0.02470276,,,,,
